Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	100	0	271	1	1	6	150	merc01	merc41	100	100	45	30	15	22	35	10	45	16	10	36		1	3	6	0	5	bow		farw	75	Multiple Shot	4	900	0	3	2	Strafe	4	160		3	2	Slow Missiles	4	130	0	3	2	Penetrate	1	0	0	15	1	Critical Strike	1	0	0	3	2	Pierce	1	0	0	3	2	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	6	150	merc01	merc41	100	100	45	30	15	22	35	10	45	16	10	36		1	3	6	0	5	bow		carw	75	Multiple Shot	4	900	0	3	2	Strafe	4	160		3	2	Slow Missiles	4	130	0	3	2	Penetrate	1	0	0	15	1	Critical Strike	1	0	0	3	2	Pierce	1	0	0	3	2	2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	6	150	merc01	merc41	100	100	45	30	15	22	35	10	45	16	10	36	1	1	3	6	0	5	bow		farw	75	Multiple Shot	4	900	0	3	2	Strafe	4	160		3	2	Slow Missiles	4	130	0	3	2	Penetrate	1	0	0	15	1	Critical Strike	1	0	0	3	2	Pierce	1	0	0	3	2	2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	6	150	merc01	merc41	100	100	45	30	15	22	35	10	45	16	10	36	1	1	3	6	0	5	bow		carw	75	Multiple Shot	4	900	0	3	2	Strafe	4	160		3	2	Slow Missiles	4	130	0	3	2	Penetrate	1	0	0	15	1	Critical Strike	1	0	0	3	2	Pierce	1	0	0	3	2	2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	6	150	merc01	merc41	100	100	45	30	15	22	35	10	45	16	10	36	2	1	3	6	0	5	bow		farw	75	Multiple Shot	4	900	0	3	2	Strafe	4	160		3	2	Slow Missiles	4	130	0	3	2	Penetrate	1	0	0	15	1	Critical Strike	1	0	0	3	2	Pierce	1	0	0	3	2	2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	6	150	merc01	merc41	100	100	45	30	15	22	35	10	45	16	10	36	2	1	3	6	0	5	bow		carw	75	Multiple Shot	4	900	0	3	2	Strafe	4	160		3	2	Slow Missiles	4	130	0	3	2	Penetrate	1	0	0	15	1	Critical Strike	1	0	0	3	2	Pierce	1	0	0	3	2	2	1	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	1	7	14	8	0	5	pole	spea	comb	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	1	7	14	8	0	5	pole	spea	def	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	1	7	14	8	0	5	pole	spea	off	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	9	198	merca201	merca221	350	100	120	40	45	28	57	14	40	12	20	36	3	7	14	8	0	5	pole	spea	comb	0	Jab	14	900	0	4	2	Fanaticism	1	160		16	1	Battle Orders	4	130	0	4	2	Pole Arm Mastery	1	0	0	4	2	Spear Mastery	1	0	0	4	2	Iron Skin	1	0	0	4	2	2	2	2	0
